source_sheet,umbrella,figure_scope,x_label,x_order,status,n_genes,percentage,n_targets,p_value,p_label
Immune,Cellular Immunity,Diet comparison among infected,"50
vs
33",1,N.S.,5,100,5,,N.S.D.
Immune,Cellular Immunity,Diet comparison among infected,"83
vs
33",2,N.S.,5,100,5,,N.S.D.
Immune,Cellular Immunity,Diet comparison among infected,"83
vs
50",3,N.S.,5,100,5,,N.S.D.
Immune,Cellular Immunity,Within-diet infection response,33,1,Downregulated,1,20,5,0.45402729863506824,N.S.D.
Immune,Cellular Immunity,Within-diet infection response,33,1,N.S.,3,60,5,0.45402729863506824,N.S.D.
Immune,Cellular Immunity,Within-diet infection response,33,1,Upregulated,1,20,5,0.45402729863506824,N.S.D.
Immune,Cellular Immunity,Within-diet infection response,50,2,Downregulated,1,20,5,0.45402729863506824,N.S.D.
Immune,Cellular Immunity,Within-diet infection response,50,2,N.S.,2,40,5,0.45402729863506824,N.S.D.
Immune,Cellular Immunity,Within-diet infection response,50,2,Upregulated,2,40,5,0.45402729863506824,N.S.D.
Immune,Cellular Immunity,Within-diet infection response,83,3,N.S.,5,100,5,0.45402729863506824,N.S.D.
Immune,Detoxification,Diet comparison among infected,"50
vs
33",1,Downregulated,1,20,5,0.06649667516624169,N.S.D.
Immune,Detoxification,Diet comparison among infected,"50
vs
33",1,N.S.,2,40,5,0.06649667516624169,N.S.D.
Immune,Detoxification,Diet comparison among infected,"50
vs
33",1,Upregulated,2,40,5,0.06649667516624169,N.S.D.
Immune,Detoxification,Diet comparison among infected,"83
vs
33",2,N.S.,5,100,5,0.06649667516624169,N.S.D.
Immune,Detoxification,Diet comparison among infected,"83
vs
50",3,N.S.,5,100,5,0.06649667516624169,N.S.D.
Immune,Detoxification,Within-diet infection response,33,1,N.S.,3,60,5,1,N.S.D.
Immune,Detoxification,Within-diet infection response,33,1,Upregulated,2,40,5,1,N.S.D.
Immune,Detoxification,Within-diet infection response,50,2,N.S.,3,60,5,1,N.S.D.
Immune,Detoxification,Within-diet infection response,50,2,Upregulated,2,40,5,1,N.S.D.
Immune,Detoxification,Within-diet infection response,83,3,N.S.,4,80,5,1,N.S.D.
Immune,Detoxification,Within-diet infection response,83,3,Upregulated,1,20,5,1,N.S.D.
Immune,Humoral Immunity,Diet comparison among infected,"50
vs
33",1,N.S.,11,100,11,,N.S.D.
Immune,Humoral Immunity,Diet comparison among infected,"83
vs
33",2,N.S.,11,100,11,,N.S.D.
Immune,Humoral Immunity,Diet comparison among infected,"83
vs
50",3,N.S.,11,100,11,,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,33,1,Downregulated,1,9.090909090909092,11,0.13449327533623318,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,33,1,N.S.,6,54.54545454545455,11,0.13449327533623318,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,33,1,Upregulated,4,36.36363636363637,11,0.13449327533623318,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,50,2,Downregulated,4,36.36363636363637,11,0.13449327533623318,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,50,2,N.S.,1,9.090909090909092,11,0.13449327533623318,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,50,2,Upregulated,6,54.54545454545455,11,0.13449327533623318,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,83,3,Downregulated,1,9.090909090909092,11,0.13449327533623318,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,83,3,N.S.,4,36.36363636363637,11,0.13449327533623318,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,83,3,Upregulated,6,54.54545454545455,11,0.13449327533623318,N.S.D.
Immune,Innate Immune Recognition & Signaling,Diet comparison among infected,"50
vs
33",1,N.S.,42,97.67441860465117,43,1,N.S.D.
Immune,Innate Immune Recognition & Signaling,Diet comparison among infected,"50
vs
33",1,Upregulated,1,2.3255813953488373,43,1,N.S.D.
Immune,Innate Immune Recognition & Signaling,Diet comparison among infected,"83
vs
33",2,N.S.,42,97.67441860465117,43,1,N.S.D.
Immune,Innate Immune Recognition & Signaling,Diet comparison among infected,"83
vs
33",2,Upregulated,1,2.3255813953488373,43,1,N.S.D.
Immune,Innate Immune Recognition & Signaling,Diet comparison among infected,"83
vs
50",3,N.S.,43,100,43,1,N.S.D.
Immune,Innate Immune Recognition & Signaling,Within-diet infection response,33,1,Downregulated,1,2.3255813953488373,43,0.15404229788510573,N.S.D.
Immune,Innate Immune Recognition & Signaling,Within-diet infection response,33,1,N.S.,15,34.883720930232556,43,0.15404229788510573,N.S.D.
Immune,Innate Immune Recognition & Signaling,Within-diet infection response,33,1,Upregulated,27,62.7906976744186,43,0.15404229788510573,N.S.D.
Immune,Innate Immune Recognition & Signaling,Within-diet infection response,50,2,Downregulated,3,6.976744186046512,43,0.15404229788510573,N.S.D.
Immune,Innate Immune Recognition & Signaling,Within-diet infection response,50,2,N.S.,8,18.6046511627907,43,0.15404229788510573,N.S.D.
Immune,Innate Immune Recognition & Signaling,Within-diet infection response,50,2,Upregulated,32,74.4186046511628,43,0.15404229788510573,N.S.D.
Immune,Innate Immune Recognition & Signaling,Within-diet infection response,83,3,N.S.,15,34.883720930232556,43,0.15404229788510573,N.S.D.
Immune,Innate Immune Recognition & Signaling,Within-diet infection response,83,3,Upregulated,28,65.11627906976744,43,0.15404229788510573,N.S.D.
