"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","original_branch","n_branch_genes","ontology"
"GO:0000278","mitotic cell cycle","30/271","34/633",0.88235294117647,2.06099413935316,5.49829366164792,2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,"LOC126266832/LOC126277977/LOC126284030/LOC126336566/LOC126284632/LOC126272289/LOC126267242/LOC126335481/LOC126284310/LOC126320326/LOC126354218/LOC126326589/LOC126284413/LOC126354268/LOC126270526/LOC126279111/LOC126285437/LOC126284276/LOC126282371/LOC126278341/LOC126267997/LOC126336858/LOC126334907/LOC126278346/LOC126266967/LOC126279072/LOC126334614/LOC126347975/LOC126272743/LOC126266746",30,"GO","All fat body DEGs in heatmap",271,633,"Branch 1",918,"Biological process"
"GO:0007049","cell cycle","36/271","44/633",0.818181818181818,1.91110365649111,5.41658271779467,4.81348236979768e-08,2.32009850224248e-05,2.32009850224248e-05,"LOC126266832/LOC126277977/LOC126284030/LOC126336566/LOC126284632/LOC126272289/LOC126267242/LOC126335481/LOC126284310/LOC126320326/LOC126273149/LOC126354218/LOC126326589/LOC126284413/LOC126354268/LOC126270526/LOC126279111/LOC126285437/LOC126284276/LOC126282371/LOC126356254/LOC126278341/LOC126267997/LOC126336858/LOC126334907/LOC126278346/LOC126320492/LOC126266967/LOC126279072/LOC126353865/LOC126334614/LOC126347975/LOC126272743/LOC126266642/LOC126272375/LOC126266746",36,"GO","All fat body DEGs in heatmap",271,633,"Branch 1",918,"Biological process"
"GO:0022402","cell cycle process","32/271","38/633",0.842105263157895,1.96698388036512,5.31546728075461,7.87466730579969e-08,2.74255109229918e-05,2.74255109229918e-05,"LOC126277977/LOC126284030/LOC126336566/LOC126284632/LOC126272289/LOC126267242/LOC126284310/LOC126320326/LOC126273149/LOC126354218/LOC126326589/LOC126284413/LOC126354268/LOC126270526/LOC126285437/LOC126284276/LOC126282371/LOC126356254/LOC126278341/LOC126267997/LOC126334907/LOC126278346/LOC126320492/LOC126266967/LOC126279072/LOC126353865/LOC126334614/LOC126347975/LOC126272743/LOC126266642/LOC126272375/LOC126266746",32,"GO","All fat body DEGs in heatmap",271,633,"Branch 1",918,"Biological process"
"GO:1903047","mitotic cell cycle process","24/271","26/633",0.923076923076923,2.15611694578484,5.20454771723552,9.48323337586163e-08,2.74255109229918e-05,2.74255109229918e-05,"LOC126277977/LOC126284030/LOC126336566/LOC126284632/LOC126267242/LOC126284310/LOC126354218/LOC126326589/LOC126284413/LOC126354268/LOC126270526/LOC126285437/LOC126284276/LOC126282371/LOC126278341/LOC126267997/LOC126334907/LOC126278346/LOC126266967/LOC126279072/LOC126334614/LOC126347975/LOC126272743/LOC126266746",24,"GO","All fat body DEGs in heatmap",271,633,"Branch 1",918,"Biological process"
"GO:0000280","nuclear division","18/271","20/633",0.9,2.10221402214022,4.33051544242894,1.18402569461055e-05,0.00114140076960457,0.00114140076960457,"LOC126277977/LOC126336566/LOC126272289/LOC126267242/LOC126273149/LOC126354268/LOC126282371/LOC126356254/LOC126334907/LOC126278346/LOC126279072/LOC126353865/LOC126334614/LOC126347975/LOC126272743/LOC126266642/LOC126272375/LOC126266746",18,"GO","All fat body DEGs in heatmap",271,633,"Branch 1",918,"Biological process"
"GO:0048285","organelle fission","18/271","20/633",0.9,2.10221402214022,4.33051544242894,1.18402569461055e-05,0.00114140076960457,0.00114140076960457,"LOC126277977/LOC126336566/LOC126272289/LOC126267242/LOC126273149/LOC126354268/LOC126282371/LOC126356254/LOC126334907/LOC126278346/LOC126279072/LOC126353865/LOC126334614/LOC126347975/LOC126272743/LOC126266642/LOC126272375/LOC126266746",18,"GO","All fat body DEGs in heatmap",271,633,"Branch 1",918,"Biological process"
"GO:0007051","spindle organization","13/271","14/633",0.928571428571429,2.16895097522404,3.8238767893601,0.000117832600085524,0.00726963735948879,0.00726963735948879,"LOC126284030/LOC126272289/LOC126267242/LOC126284310/LOC126273149/LOC126284413/LOC126285437/LOC126267997/LOC126278346/LOC126334614/LOC126347975/LOC126266642/LOC126266746",13,"GO","All fat body DEGs in heatmap",271,633,"Branch 1",918,"Biological process"
"GO:0098813","nuclear chromosome segregation","13/271","14/633",0.928571428571429,2.16895097522404,3.8238767893601,0.000117832600085524,0.00726963735948879,0.00726963735948879,"LOC126336566/LOC126267242/LOC126273149/LOC126354268/LOC126356254/LOC126334907/LOC126278346/LOC126279072/LOC126353865/LOC126334614/LOC126347975/LOC126272743/LOC126266746",13,"GO","All fat body DEGs in heatmap",271,633,"Branch 1",918,"Biological process"
"GO:0007346","regulation of mitotic cell cycle","18/271","22/633",0.818181818181818,1.91110365649111,3.76051585584304,0.000169975543414763,0.00905231042814953,0.00905231042814953,"LOC126277977/LOC126267315/LOC126336566/LOC126284632/LOC126272289/LOC126267242/LOC126284310/LOC126320326/LOC126326589/LOC126270526/LOC126285437/LOC126284276/LOC126282371/LOC126278341/LOC126353790/LOC126320492/LOC126266967/LOC126334614",18,"GO","All fat body DEGs in heatmap",271,633,"Branch 1",918,"Biological process"
"GO:0006259","DNA metabolic process","16/271","19/633",0.842105263157895,1.96698388036512,3.69999169001618,0.000217332802024035,0.00982072599146109,0.00982072599146109,"LOC126284030/LOC126284632/LOC126267242/LOC126355257/LOC126335481/LOC126320326/LOC126354268/LOC126282371/LOC126356254/LOC126298496/LOC126281396/LOC126293483/LOC126320492/LOC126353865/LOC126359832/LOC126272375",16,"GO","All fat body DEGs in heatmap",271,633,"Branch 1",918,"Biological process"
