"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","foreground_set","pathway_theme","pathway_scope","insect_focused_pathway"
"ko00981","Insect hormone biosynthesis","8/260","18/3456",0.444444444444444,5.90769230769231,5.95343967421864,2.07823177173126e-05,0.000548333459772172,0.000548333459772172,"LOC126299150/LOC126343748/LOC126305900/LOC126293679/LOC126281446/LOC126268026/LOC126320178/LOC126343702",8,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",260,3456,"Expression cluster 1","Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain",TRUE
"ko00982","Drug metabolism - cytochrome P450","21/260","57/3456",0.368421052631579,4.89716599190283,8.46092926238823,2.10155662204148e-10,4.22070049524851e-08,4.22070049524851e-08,"LOC126336713/LOC126281954/LOC126336628/LOC126272888/LOC126281562/LOC126272831/LOC126336724/LOC126266827/LOC126331335/LOC126282396/LOC126266828/LOC126336625/LOC126336695/LOC126336888/LOC126272926/LOC126341237/LOC126266939/LOC126281404/LOC126336692/LOC126336627/LOC126272928",21,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",260,3456,"Expression cluster 1","Detoxification and secondary metabolism","Core metabolism or cross-domain",FALSE
"ko00980","Metabolism of xenobiotics by cytochrome P450","22/260","63/3456",0.349206349206349,4.64175824175824,8.31949128592237,2.57185637666292e-10,4.22070049524851e-08,4.22070049524851e-08,"LOC126336713/LOC126281954/LOC126336628/LOC126281562/LOC126343748/LOC126293679/LOC126272831/LOC126336724/LOC126281694/LOC126331335/LOC126282396/LOC126336625/LOC126336695/LOC126336888/LOC126272926/LOC126341237/LOC126266939/LOC126281404/LOC126343702/LOC126336692/LOC126336627/LOC126272928",22,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",260,3456,"Expression cluster 1","Detoxification and secondary metabolism","Core metabolism or cross-domain",FALSE
"ko00040","Pentose and glucuronate interconversions","18/260","43/3456",0.418604651162791,5.56422182468694,8.58895132390434,3.69157477718528e-10,4.22070049524851e-08,4.22070049524851e-08,"LOC126281399/LOC126336628/LOC126357545/LOC126281562/LOC126283957/LOC126272831/LOC126291591/LOC126281694/LOC126266657/LOC126283960/LOC126336625/LOC126335523/LOC126272926/LOC126341237/LOC126266939/LOC126278567/LOC126336627/LOC126272928",18,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",260,3456,"Expression cluster 1","Carbohydrate and energy metabolism","Core metabolism or cross-domain",FALSE
"ko05204","Chemical carcinogenesis - DNA adducts","21/260","62/3456",0.338709677419355,4.50223325062035,7.93582911141652,1.28504205324519e-09,1.10192356065775e-07,1.10192356065775e-07,"LOC126336713/LOC126281954/LOC126336628/LOC126281562/LOC126343748/LOC126293679/LOC126272831/LOC126336724/LOC126331335/LOC126282396/LOC126336625/LOC126336695/LOC126336888/LOC126272926/LOC126341237/LOC126266939/LOC126281404/LOC126343702/LOC126336692/LOC126336627/LOC126272928",21,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",260,3456,"Expression cluster 1","Genetic information processing","Reference disease pathway",FALSE
"ko01110","Biosynthesis of secondary metabolites","49/260","278/3456",0.176258992805755,2.34288876591035,6.65875148649303,3.90882462100007e-09,2.61289843752907e-07,2.61289843752907e-07,"LOC126335182/LOC126281954/LOC126336628/LOC126284812/LOC126284686/LOC126298104/LOC126329483/LOC126281562/LOC126298865/LOC126350022/LOC126356100/LOC126278697/LOC126284811/LOC126299493/LOC126334596/LOC126354727/LOC126336244/LOC126284898/LOC126298779/LOC126272831/LOC126334891/LOC126272584/LOC126336251/LOC126271720/LOC126299542/LOC126323251/LOC126365941/LOC126281446/LOC126293404/LOC126335505/LOC126298221/LOC126268218/LOC126268126/LOC126336625/LOC126297871/LOC126272926/LOC126341237/LOC126335184/LOC126266939/LOC126281958/LOC126349195/LOC126336627/LOC126272928/LOC126297494/LOC126281532/LOC126275659/LOC126267350/LOC126284002/LOC126272037",49,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",260,3456,"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map",FALSE
"ko01100","Metabolic pathways","104/260","842/3456",0.123515439429929,1.64180522565321,6.10680169547822,4.57066782075057e-09,2.61289843752907e-07,2.61289843752907e-07,"LOC126285375/LOC126355818/LOC126336714/LOC126336122/LOC126335182/LOC126278249/LOC126358586/LOC126281954/LOC126284296/LOC126281399/LOC126323656/LOC126336628/LOC126357545/LOC126284812/LOC126297511/LOC126298672/LOC126284686/LOC126298104/LOC126329483/LOC126281562/LOC126350022/LOC126334561/LOC126356100/LOC126335256/LOC126278697/LOC126281672/LOC126284811/LOC126299493/LOC126334596/LOC126299078/LOC126283957/LOC126277907/LOC126354727/LOC126336244/LOC126354818/LOC126284898/LOC126298779/LOC126272831/LOC126334891/LOC126291591/LOC126356371/LOC126365911/LOC126281492/LOC126354225/LOC126272393/LOC126298220/LOC126284573/LOC126272584/LOC126266596/LOC126336251/LOC126272096/LOC126335258/LOC126331446/LOC126281949/LOC126281164/LOC126354574/LOC126266657/LOC126271720/LOC126283960/LOC126267535/LOC126299542/LOC126323251/LOC126365941/LOC126281446/LOC126293404/LOC126335505/LOC126298221/LOC126268218/LOC126268126/LOC126277880/LOC126355885/LOC126299071/LOC126336625/LOC126336695/LOC126284808/LOC126271923/LOC126299043/LOC126297871/LOC126335523/LOC126359832/LOC126272926/LOC126297442/LOC126341237/LOC126335184/LOC126267222/LOC126284872/LOC126266939/LOC126281958/LOC126272931/LOC126279052/LOC126349195/LOC126278567/LOC126295125/LOC126292034/LOC126335481/LOC126336692/LOC126336627/LOC126272928/LOC126297494/LOC126281532/LOC126275659/LOC126292317/LOC126267350/LOC126272037",104,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",260,3456,"Expression cluster 1","Broad metabolic map","Broad KEGG reference map",FALSE
"ko00983","Drug metabolism - other enzymes","18/260","66/3456",0.272727272727273,3.62517482517483,6.14097973188875,8.47461106510182e-07,3.79222636116057e-05,3.79222636116057e-05,"LOC126336713/LOC126336628/LOC126281562/LOC126272831/LOC126336724/LOC126284573/LOC126331335/LOC126282396/LOC126277880/LOC126336625/LOC126336888/LOC126272926/LOC126341237/LOC126266939/LOC126281404/LOC126336627/LOC126272928/LOC126292317",18,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",260,3456,"Expression cluster 1","Other KEGG pathway","Core metabolism or cross-domain",FALSE
"ko00053","Ascorbate and aldarate metabolism","13/260","36/3456",0.361111111111111,4.8,6.53625682762281,8.84484282486431e-07,3.79222636116057e-05,3.79222636116057e-05,"LOC126336628/LOC126277893/LOC126281562/LOC126350022/LOC126272831/LOC126266657/LOC126281446/LOC126336625/LOC126272926/LOC126341237/LOC126266939/LOC126336627/LOC126272928",13,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",260,3456,"Expression cluster 1","Carbohydrate and energy metabolism","Core metabolism or cross-domain",FALSE
"ko01120","Microbial metabolism in diverse environments","27/260","137/3456",0.197080291970803,2.61965188096575,5.51677982527697,1.96321426299834e-06,7.48202769120478e-05,7.48202769120478e-05,"LOC126336122/LOC126355949/LOC126281954/LOC126272888/LOC126298672/LOC126350022/LOC126334596/LOC126336244/LOC126284898/LOC126334891/LOC126266827/LOC126336251/LOC126354574/LOC126299542/LOC126323251/LOC126365941/LOC126281446/LOC126335505/LOC126268126/LOC126266828/LOC126355885/LOC126297871/LOC126281958/LOC126349195/LOC126297494/LOC126281532/LOC126272037",27,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",260,3456,"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map",FALSE
"ko01130","Biosynthesis of antibiotics","31/260","174/3456",0.17816091954023,2.36816976127321,5.28144349705105,3.20082442448321e-06,0.000109788277759774,0.000109788277759774,"LOC126281954/LOC126284812/LOC126298672/LOC126298104/LOC126329483/LOC126298865/LOC126350022/LOC126278697/LOC126281672/LOC126284811/LOC126334596/LOC126299078/LOC126336244/LOC126284898/LOC126291591/LOC126336251/LOC126354574/LOC126299542/LOC126365941/LOC126281446/LOC126293404/LOC126335505/LOC126298221/LOC126268218/LOC126297871/LOC126281958/LOC126349195/LOC126297494/LOC126281532/LOC126267350/LOC126272037",31,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",260,3456,"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map",FALSE
