"expression_cluster","database","background","term_id","term_name","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","gene_id","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","Description","gene_biotype"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126266746","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.05064515517822,0.000564491101029496,"uncharacterized LOC126266746","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126266832","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.42445718103756,3.06441599271753e-06,"protein jagged-1b","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126266967","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.02418793789012,0.0209621432369893,"mitotic checkpoint protein BUB3","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126267242","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.0074475137939,0.00321161592820394,"chromosome-associated kinesin KIF4","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126267997","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.43520843480415,0.000279053636251197,"myosin heavy chain 95F","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126270526","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.39497800338742,0.000316571177182894,"uncharacterized LOC126270526","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126272289","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",2.5558340063155,0.000351766127685446,"cyclin-dependent kinases regulatory subunit","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126272743","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.12947731076251,0.027238446587596,"G2/mitotic-specific cyclin-B-like","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126277977","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.08102657556134,0.0435144803547537,"ubiquitin-conjugating enzyme E2 C-like","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126278341","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet33","Control diet 33",1.22914607553627,0.0187802576177988,"uncharacterized LOC126278341","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126278346","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.10107086036872,0.00420665042548931,"baculoviral IAP repeat-containing protein 5.2-B","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126279072","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.16898880436511,0.0355308152759941,"G2/mitotic-specific cyclin-B-like","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126279111","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.47808656306876,0.000181539916064202,"S-phase kinase-associated protein 2","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126282371","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.33893994885074,0.00340394486085456,"cyclin-dependent kinase 1-like","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126284030","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.20004500041169,2.48060826378379e-07,"proliferating cell nuclear antigen","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126284276","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.64414131939002,4.50059539198747e-07,"mitotic spindle assembly checkpoint protein MAD2A","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126284310","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.19628752759347,0.032466487575311,"wee1-like protein kinase","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126284413","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.087051102417,0.00512115239339089,"protein abnormal spindle-like","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126284632","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.30845592669688,0.00584688927448788,"Fanconi anemia group D2 protein","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126285437","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.01455926991119,0.0137557214397719,"uncharacterized LOC126285437","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126320326","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.48490316103179,0.000109795783684018,"geminin","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126326589","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.4832595749795,6.66336473860179e-07,"ovarian-specific serine/threonine-protein kinase Lok-like","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126334614","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.92164957038592,0.000223851586008,"kinesin-like protein KIF20B","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126334907","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.63959940087535,9.15749968226095e-05,"uncharacterized LOC126334907","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126335481","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.01495139742844,0.001417228996245,"DNA primase large subunit","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126336566","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.36400265295012,0.0214742670460171,"uncharacterized LOC126336566","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126336858","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",2.78635805855033,8.73298218097974e-05,"protein atonal","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126347975","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.17190115241239,0.0210490860216869,"calponin homology domain-containing protein DDB_G0272472-like","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126354218","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.01691832886899,0.0156507592837821,"partitioning defective 3 homolog","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0000278","mitotic cell cycle","30/271","34/633",2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,30,"LOC126354268","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",2.2622230155526,0.000651713372413879,"separin","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126266662","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.7560990068931,0.000133527877255632,"heat shock protein 68-like","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126266827","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.36588703687231,0.0284320839091959,"senecionine N-oxygenase-like","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126266828","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",2.19583702086913,0.00116262206404869,"senecionine N-oxygenase-like","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126267350","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.06367326368541,0.0192423308843258,"glycine cleavage system H protein, mitochondrial","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126272037","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.02749778313012,8.75446855424673e-05,"aspartate aminotransferase, mitochondrial","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126272512","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.09443015721427,0.0154674075714766,"probable 28S ribosomal protein S25, mitochondrial","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126272888","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",2.95609356197114,6.18403192552411e-06,"uncharacterized LOC126272888","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126281396","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.02837000361329,0.00277091740868991,"single-stranded DNA-binding protein, mitochondrial","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126281446","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.49819110159171,1.30251900098959e-06,"aldehyde dehydrogenase, mitochondrial","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126284002","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.42345722447062,8.29036751879089e-10,"elongation of very long chain fatty acids protein 6","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126293382","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.24865823781275,0.000587468950011878,"39S ribosomal protein L32, mitochondrial","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126298770","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.30151081637103,1.4483900992508e-10,"adrenodoxin-like protein 2, mitochondrial","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126298865","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.92408109041134,2.97942930171062e-05,"GTP:AMP phosphotransferase AK3, mitochondrial","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126299043","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.12976423989885,0.00327068628652296,"delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126299150","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",2.39454505907055,1.4241867996273e-05,"ecdysone 20-monooxygenase","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126299549","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.39611721084196,1.27068016842785e-11,"succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126320178","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.99476988292441,0.00248382576894212,"cytochrome P450 315a1, mitochondrial","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126323251","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.74346605718364,0.000233386791664899,"bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126325353","Infection + diet","Not evaluated in this chromosome-only figure",2,"infected_diet83_vs33; infection_diet33","Control diet 33; Infected diet 83",2.32608132877246,0.0016483815956814,"serine hydroxymethyltransferase","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126334596","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",2.12578961193669,0.0135632998535692,"probable aconitate hydratase, mitochondrial","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126334657","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.68207488182876,4.56159139413212e-05,"bcl-2-related ovarian killer protein-like","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126334733","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.40474344396114,0.00130922068108473,"39S ribosomal protein L12, mitochondrial-like","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126334959","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.09698018165187,0.000663988184661385,"superoxide dismutase [Mn], mitochondrial","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126335256","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.88658055846766,3.2877561656341e-17,"probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126335505","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.35748613988231,2.60443555613489e-09,"isocitrate dehydrogenase [NADP] cytoplasmic","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126336122","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.4096398459002,4.75240175557166e-10,"NADP-dependent malic enzyme-like","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126336244","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.70587238674963,1.45258367656863e-17,"acetyl-CoA acetyltransferase, mitochondrial","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126336251","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.68270517033863,3.74621147984462e-07,"enoyl-CoA hydratase, mitochondrial-like","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126336866","Infection + diet","Not evaluated in this chromosome-only figure",6,"control_diet83_vs33; control_diet83_vs50; infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.29949346344175,2.09258436775483e-21,"NADP-dependent malic enzyme-like","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126336928","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.37647793503007,0.00808382915218958,"S-adenosylmethionine mitochondrial carrier protein homolog","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126349195","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.09885259010062,0.0349122863528309,"dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126349792","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.02383328668256,0.0265642313361394,"complement component 1 Q subcomponent-binding protein, mitochondrial","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126352958","Infection + diet","Not evaluated in this chromosome-only figure",4,"control_diet83_vs33; control_diet83_vs50; infected_diet83_vs33; infected_diet83_vs50","Control diet 83; Infected diet 83",3.3031178516406,1.68158644234721e-06,"ornithine aminotransferase, mitochondrial","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126354727","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.62715954368852,5.30577079290177e-05,"alanine--glyoxylate aminotransferase 2, mitochondrial-like","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126356100","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.09771649289524,2.66791460778016e-06,"glycerol-3-phosphate acyltransferase 1, mitochondrial","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0005739","mitochondrion","36/271","43/633",1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,36,"LOC126365930","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.31653976571896,0.00219494993667043,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","36/271","44/633",4.81348236979768e-08,2.32009850224248e-05,2.32009850224248e-05,36,"LOC126266642","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.0284917407699,0.0147567021689679,"nuclear pore complex protein Nup155","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","36/271","44/633",4.81348236979768e-08,2.32009850224248e-05,2.32009850224248e-05,36,"LOC126266746","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.05064515517822,0.000564491101029496,"uncharacterized LOC126266746","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","36/271","44/633",4.81348236979768e-08,2.32009850224248e-05,2.32009850224248e-05,36,"LOC126266832","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.42445718103756,3.06441599271753e-06,"protein jagged-1b","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","36/271","44/633",4.81348236979768e-08,2.32009850224248e-05,2.32009850224248e-05,36,"LOC126266967","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.02418793789012,0.0209621432369893,"mitotic checkpoint protein BUB3","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","36/271","44/633",4.81348236979768e-08,2.32009850224248e-05,2.32009850224248e-05,36,"LOC126267242","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.0074475137939,0.00321161592820394,"chromosome-associated kinesin KIF4","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","36/271","44/633",4.81348236979768e-08,2.32009850224248e-05,2.32009850224248e-05,36,"LOC126267997","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.43520843480415,0.000279053636251197,"myosin heavy chain 95F","protein_coding"
"DEG cluster 1","GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","36/271","44/633",4.81348236979768e-08,2.32009850224248e-05,2.32009850224248e-05,36,"LOC126270526","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.39497800338742,0.000316571177182894,"uncharacterized LOC126270526","protein_coding"
