"source_direction","n_genes"
"DESeq2_Infected_diet_33_vs_50__DOWN",1944
"all_infection_within_diet_results__UP",906
"all_infection_within_diet_results__DOWN",825
"DESeq2_infected_vs_control_diet_50__UP",794
"all_model_coefficients__UP",746
"DESeq2_infected_vs_control_diet_50__DOWN",518
"DESeq2_infected_vs_control_diet_33__UP",457
"DESeq2_infected_vs_control_diet_33__DOWN",441
"all_model_coefficients__DOWN",397
"DESeq2_infected_vs_control_diet_83__UP",342
"DESeq2_infected_vs_control_diet_83__DOWN",177
"all_diet_pairwise_results__DOWN",103
"interaction_coefficients__DOWN",65
"DESeq2_33_vs_50__DOWN",54
"DESeq2_33_vs_83__DOWN",49
"DESeq2_Control_diet_33_vs_83__DOWN",44
"DESeq2_Control_diet_50_vs_83__DOWN",35
"all_diet_pairwise_results__UP",34
"DESeq2_33_vs_83__UP",29
"DESeq2_50_vs_83__DOWN",23
"DESeq2_Control_diet_33_vs_83__UP",23
"DESeq2_Infected_diet_33_vs_83__DOWN",18
"DESeq2_Infected_diet_33_vs_50__UP",11
"DESeq2_Infected_diet_33_vs_83__UP",11
"DESeq2_50_vs_83__UP",7
"DESeq2_33_vs_50__UP",4
"DESeq2_Control_diet_33_vs_50__UP",3
"DESeq2_Control_diet_50_vs_83__UP",3
"interaction_coefficients__UP",2
"DESeq2_Infected_diet_50_vs_83__DOWN",1
