"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","expression_cluster","n_cluster_genes","pathway_theme","pathway_scope"
"ko01100","Metabolic pathways","117/275","200/560",0.585,1.19127272727273,3.31105670578883,0.000617751827308323,0.0221037267696355,0.0221037267696355,"LOC126284812/LOC126335182/LOC126352958/LOC126293404/LOC126297442/LOC126299078/LOC126284573/LOC126281399/LOC126336628/LOC126336692/LOC126284811/LOC126354610/LOC126297511/LOC126278485/LOC126271720/LOC126292317/LOC126323656/LOC126266788/LOC126329483/LOC126281562/LOC126299071/LOC126334561/LOC126336866/LOC126325353/LOC126356100/LOC126272511/LOC126365911/LOC126335256/LOC126278697/LOC126281672/LOC126335010/LOC126272393/LOC126335505/LOC126293737/LOC126336316/LOC126336244/LOC126334596/LOC126341237/LOC126272831/LOC126334891/LOC126281949/LOC126267535/LOC126266596/LOC126291591/LOC126266840/LOC126285378/LOC126354225/LOC126278052/LOC126281265/LOC126354574/LOC126272584/LOC126298779/LOC126284898/LOC126336251/LOC126293368/LOC126272926/LOC126281438/LOC126283957/LOC126281164/LOC126295405/LOC126355885/LOC126323251/LOC126365941/LOC126335258/LOC126271923/LOC126299364/LOC126268218/LOC126268126/LOC126358586/LOC126277880/LOC126284808/LOC126266657/LOC126272037/LOC126331446/LOC126336625/LOC126336695/LOC126336122/LOC126295125/LOC126299542/LOC126335481/LOC126278567/LOC126281954/LOC126350022/LOC126278249/LOC126267222/LOC126335184/LOC126277907/LOC126354727/LOC126359832/LOC126298104/LOC126355818/LOC126266939/LOC126272931/LOC126269845/LOC126279052/LOC126299043/LOC126297871/LOC126335523/LOC126281958/LOC126297494/LOC126281532/LOC126336714/LOC126299365/LOC126349195/LOC126299493/LOC126281446/LOC126292034/LOC126272928/LOC126356371/LOC126357545/LOC126324953/LOC126281974/LOC126283960/LOC126284296/LOC126285375/LOC126267350/LOC126275659",117,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Broad metabolic map","Broad KEGG reference map"
"ko01200","Carbon metabolism","22/275","27/560",0.814814814814815,1.65925925925926,3.44607191664674,0.000418172375627079,0.0221037267696355,0.0221037267696355,"LOC126293404/LOC126336866/LOC126325353/LOC126335256/LOC126335505/LOC126336244/LOC126334596/LOC126284898/LOC126336251/LOC126293368/LOC126295405/LOC126365941/LOC126272037/LOC126336122/LOC126299542/LOC126281954/LOC126297871/LOC126281958/LOC126297494/LOC126281532/LOC126349195/LOC126267350",22,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Carbohydrate and energy metabolism","Broad KEGG reference map"
"ko00620","Pyruvate metabolism","10/275","10/560",1,2.03636363636364,3.24549274232679,0.000749281928909822,0.0221037267696355,0.0221037267696355,"LOC126336866/LOC126336244/LOC126266840/LOC126285378/LOC126278052/LOC126323251/LOC126336122/LOC126350022/LOC126297871/LOC126281446",10,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00040","Pentose and glucuronate interconversions","19/275","23/560",0.826086956521739,1.68221343873518,3.27904114530081,0.000795475339930549,0.0221037267696355,0.0221037267696355,"LOC126281399/LOC126336628/LOC126281562/LOC126341237/LOC126272831/LOC126291591/LOC126272926/LOC126281438/LOC126283957/LOC126266657/LOC126336625/LOC126278567/LOC126266939/LOC126335523/LOC126272928/LOC126357545/LOC126281974/LOC126283960/LOC126281694",19,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00630","Glyoxylate and dicarboxylate metabolism","8/275","8/560",1,2.03636363636364,2.89759338604126,0.00320880286730563,0.0476383810299989,0.0476383810299989,"LOC126293404/LOC126325353/LOC126336244/LOC126334596/LOC126267535/LOC126323251/LOC126365941/LOC126267350",8,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko01130","Biosynthesis of antibiotics","43/275","56/560",0.767857142857143,1.56363636363636,4.36342555164468,8.17662844740529e-06,0.00157808929034922,0.00157808929034922,"LOC126284812/LOC126352958/LOC126293404/LOC126299078/LOC126284811/LOC126354610/LOC126278485/LOC126266788/LOC126329483/LOC126325353/LOC126298865/LOC126278697/LOC126281672/LOC126335505/LOC126293737/LOC126336244/LOC126334596/LOC126291591/LOC126266840/LOC126278052/LOC126281265/LOC126354574/LOC126284898/LOC126336251/LOC126293368/LOC126295405/LOC126365941/LOC126299364/LOC126268218/LOC126272037/LOC126299542/LOC126281954/LOC126350022/LOC126298104/LOC126297871/LOC126281958/LOC126297494/LOC126281532/LOC126299365/LOC126349195/LOC126281446/LOC126324953/LOC126267350",43,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Detoxification and secondary metabolism","Broad KEGG reference map"
"ko01120","Microbial metabolism in diverse environments","33/275","42/560",0.785714285714286,1.6,3.96790107938919,4.86184637146661e-05,0.00469168174846528,0.00469168174846528,"LOC126355949/LOC126272888/LOC126336866/LOC126325353/LOC126272511/LOC126335505/LOC126336244/LOC126334596/LOC126334891/LOC126266840/LOC126278052/LOC126354574/LOC126266827/LOC126284898/LOC126336251/LOC126293368/LOC126295405/LOC126355885/LOC126323251/LOC126365941/LOC126268126/LOC126266828/LOC126272037/LOC126336122/LOC126299542/LOC126281954/LOC126350022/LOC126297871/LOC126281958/LOC126297494/LOC126281532/LOC126349195/LOC126281446",33,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Detoxification and secondary metabolism","Broad KEGG reference map"
"ko01110","Biosynthesis of secondary metabolites","60/275","93/560",0.645161290322581,1.31378299120235,3.25208773530293,0.000801689571955691,0.0221037267696355,0.0221037267696355,"LOC126284812/LOC126335182/LOC126352958/LOC126293404/LOC126336628/LOC126284811/LOC126354610/LOC126278485/LOC126271720/LOC126266788/LOC126329483/LOC126281562/LOC126325353/LOC126298865/LOC126356100/LOC126278697/LOC126335010/LOC126335505/LOC126293737/LOC126336244/LOC126334596/LOC126341237/LOC126272831/LOC126334891/LOC126266840/LOC126285378/LOC126278052/LOC126281265/LOC126272584/LOC126298779/LOC126284898/LOC126336251/LOC126272926/LOC126323251/LOC126365941/LOC126299364/LOC126268218/LOC126268126/LOC126272037/LOC126336625/LOC126299542/LOC126281954/LOC126350022/LOC126335184/LOC126354727/LOC126298104/LOC126266939/LOC126297871/LOC126281958/LOC126297494/LOC126281532/LOC126299365/LOC126349195/LOC126299493/LOC126281446/LOC126272928/LOC126324953/LOC126284002/LOC126267350/LOC126275659",60,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Detoxification and secondary metabolism","Broad KEGG reference map"
"ko00980","Metabolism of xenobiotics by cytochrome P450","21/275","27/560",0.777777777777778,1.58383838383838,3.05183284140217,0.0017943735109334,0.038479343067794,0.038479343067794,"LOC126336628/LOC126336692/LOC126281562/LOC126343748/LOC126341237/LOC126272831/LOC126336724/LOC126331335/LOC126272926/LOC126293679/LOC126282396/LOC126336625/LOC126336695/LOC126343702/LOC126281954/LOC126336888/LOC126266939/LOC126272928/LOC126336713/LOC126281404/LOC126281694",21,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko00982","Drug metabolism - cytochrome P450","21/275","27/560",0.777777777777778,1.58383838383838,3.05183284140217,0.0017943735109334,0.038479343067794,0.038479343067794,"LOC126336628/LOC126336692/LOC126272888/LOC126281562/LOC126335010/LOC126341237/LOC126272831/LOC126336724/LOC126266827/LOC126331335/LOC126272926/LOC126282396/LOC126266828/LOC126336625/LOC126336695/LOC126281954/LOC126336888/LOC126266939/LOC126272928/LOC126336713/LOC126281404",21,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Detoxification and secondary metabolism","Core metabolism or cross-domain"
