"dataset","label","PC1","PC2","Diet","Treatment","percent_PC1","percent_PC2"
"Full dataset","1002",-27.5928658662652,-19.3637652634351,"83","Control",32.7,21
"Full dataset","1003",24.771806105462,-29.8973569763334,"33","Control",32.7,21
"Full dataset","1004",24.8224141816261,-28.1513850855772,"50","Control",32.7,21
"Full dataset","1005",26.257688486184,-23.5543069381196,"83","Control",32.7,21
"Full dataset","1006",22.301824813048,-37.6998557940152,"33","Control",32.7,21
"Full dataset","1007",-94.0282450546288,-32.2964890113296,"50","Control",32.7,21
"Full dataset","1009",26.976923229417,-29.0711995105351,"33","Control",32.7,21
"Full dataset","1011",24.6660135783646,-19.1526566266694,"83","Control",32.7,21
"Full dataset","1014",-32.138956282894,14.7611544281626,"83","Infected",32.7,21
"Full dataset","1015",10.5121214433127,34.708200727508,"33","Infected",32.7,21
"Full dataset","1016",-73.2120289790601,48.070978573877,"50","Infected",32.7,21
"Full dataset","1018",24.0685783891175,5.32507150628596,"33","Infected",32.7,21
"Full dataset","1020",-8.7167413540823,8.7716188935794,"83","Infected",32.7,21
"Full dataset","1021",23.8143977100029,-2.40925002423149,"33","Infected",32.7,21
"Full dataset","1023",23.0722670546477,55.8033564607801,"83","Infected",32.7,21
"Full dataset","1024",-50.6856270924351,11.9315587744257,"83","Infected",32.7,21
"Full dataset","1025",-20.385302172549,27.3932049797951,"50","Infected",32.7,21
"Full dataset","1027",5.98378088727154,54.3989023973277,"33","Infected",32.7,21
"Full dataset","1028",23.3960712466728,12.6962582228396,"50","Infected",32.7,21
"Full dataset","1029",23.3536793285097,44.0878639968105,"83","Infected",32.7,21
"Full dataset","1030",25.4415684728072,-35.0067562270509,"33","Control",32.7,21
"Full dataset","1031",19.4319958812594,-24.1713002745843,"50","Control",32.7,21
"Full dataset","1032",10.3106097146593,-30.9415613249052,"83","Control",32.7,21
"Full dataset","1033",22.4131895813747,-17.5559740411474,"33","Control",32.7,21
"Full dataset","1034",24.2085421013374,-32.1739592009173,"50","Control",32.7,21
"Full dataset","1035",6.35028766080353,-13.4596927943215,"83","Control",32.7,21
"Full dataset","1036",-29.2901437757561,-35.9419505217861,"33","Control",32.7,21
"Full dataset","1037",-103.972990953566,-32.0770823356198,"50","Control",32.7,21
"Full dataset","1038",-21.5697903793486,-26.4657231637605,"83","Control",32.7,21
"Full dataset","1039",-51.6578323582577,-17.381210081987,"33","Control",32.7,21
"Full dataset","1040",26.6128014529087,-25.4074898682701,"50","Control",32.7,21
"Full dataset","1041",25.6069695380553,-27.3775602924044,"83","Control",32.7,21
"Full dataset","1042",27.436618671465,11.8571357576598,"33","Infected",32.7,21
"Full dataset","1043",-4.97440149658823,-0.123066016670757,"50","Infected",32.7,21
"Full dataset","1045",15.4273282063742,-0.662392665927065,"33","Infected",32.7,21
"Full dataset","1046",-78.8795128610335,25.8673464374577,"50","Infected",32.7,21
"Full dataset","1049",22.645096020498,39.4223064932273,"50","Infected",32.7,21
"Full dataset","1050",24.5485260529281,7.80657878308875,"83","Infected",32.7,21
"Full dataset","1051",18.6059201719614,-7.892796130288,"33","Infected",32.7,21
"Full dataset","1052",23.4823493677425,17.8080524328069,"50","Infected",32.7,21
"Full dataset","1054",20.7086056543125,35.3268367016154,"33","Infected",32.7,21
"Full dataset","1055",-25.8249850775147,16.0892439951258,"50","Infected",32.7,21
"Full dataset","1057",24.1951892720772,36.9527548434272,"33","Infected",32.7,21
"Full dataset","1058",1.5062594297824,39.1563557640854,"50","Infected",32.7,21
"Outliers removed","1002",-16.7110007775614,-41.7619670779538,"83","Control",28.7,19.7
"Outliers removed","1003",36.0097204739873,-13.6091292845299,"33","Control",28.7,19.7
"Outliers removed","1004",34.4754986164894,-13.1784702513485,"50","Control",28.7,19.7
"Outliers removed","1005",32.966033193511,-8.18987638847015,"83","Control",28.7,19.7
"Outliers removed","1006",37.496066536333,-23.9502927916276,"33","Control",28.7,19.7
