"heatmap_row_order","gene_id","GFF_Description","gene_biotype","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
1,"LOC126267253","endoplasmic reticulum chaperone BiP-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.60565556482405,0.0027879248024667,2.01790683643873,"1006","Higher than gene mean"
2,"LOC126272567","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.22328760318891,0.029048000452434,2.19008978136573,"1027","Higher than gene mean"
3,"LOC126334751","uncharacterized LOC126334751","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.52644447182492,0.00216183887753808,2.19832221602185,"1021","Higher than gene mean"
4,"LOC126355919","uncharacterized LOC126355919","lncRNA","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",3.36971914751822,0.0120340773456884,2.85570220421172,"1007","Higher than gene mean"
5,"LOC126334706","sodium-dependent nutrient amino acid transporter 1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.36651136155922,0.0437654257436386,2.48375664595165,"1002","Higher than gene mean"
6,"LOC126285032","uncharacterized LOC126285032","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.32441391622021,0.0425948596042985,2.44114931318436,"1002","Higher than gene mean"
7,"LOC126354448","uncharacterized LOC126354448","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.83776660223079,0.00149654139136232,3.18924817303455,"1007","Higher than gene mean"
8,"LOC126291956","cuticle protein 6.4-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",3.87151463104306,0.00464001909509211,2.52645486152737,"1033","Higher than gene mean"
9,"LOC126284457","endocuticle structural glycoprotein SgAbd-9","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.7443399022814,0.0021978366783329,2.53833044367729,"1011","Higher than gene mean"
10,"LOC126284147","uncharacterized LOC126284147","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.36784807754847,0.00950371861550754,3.14062833520404,"1011","Higher than gene mean"
11,"LOC126334802","cuticle protein 19.8-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.70696755173202,0.0389991559497407,2.64855895913856,"1007","Higher than gene mean"
12,"LOC126324229","uncharacterized LOC126324229","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.71925292994506,0.0133964206507756,2.89970399786786,"1016","Lower than gene mean"
13,"LOC126334857","probable multidrug resistance-associated protein lethal(2)03659","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_diet50; interaction_diet83_vs50","Control diet 50; Infection response diet 83",2.31716223687665,0.00301128174756969,2.65400278160277,"1007","Higher than gene mean"
14,"LOC126291743","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.78933409764354,0.000156654321251944,2.82085125093903,"1036","Higher than gene mean"
15,"LOC126335593","uncharacterized LOC126335593","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.41315616349018,1.71108912205556e-06,2.32441389558487,"1002","Higher than gene mean"
16,"LOC126284556","uncharacterized LOC126284556","lncRNA","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.68660451046242,7.07758041373263e-08,2.80570765896351,"1057","Lower than gene mean"
17,"LOC126278678","headcase protein-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.20167121346506,2.19676988283311e-07,2.59984166627876,"1057","Lower than gene mean"
18,"LOC126322885","uncharacterized LOC126322885","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.56077196754546,2.9359270267245e-09,1.82907490401193,"1054","Lower than gene mean"
19,"LOC126283961","aquaporin AQPAn.G-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.52580733523376,1.18307832758073e-05,2.42127055007462,"1058","Lower than gene mean"
20,"LOC126356215","cholinesterase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.11779811240593,2.62463957964031e-09,2.05750969108425,"1057","Lower than gene mean"
21,"LOC126281562","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.67639811977324,1.2901651155649e-11,2.60363631007609,"1023","Lower than gene mean"
22,"LOC126282155","uncharacterized LOC126282155","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.08043414201676,0.000229170001923611,2.03654311466152,"1023","Lower than gene mean"
23,"LOC126297494","glucose-6-phosphate 1-dehydrogenase","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.37221322080482,1.46727259494981e-12,1.73235629177823,"1050","Lower than gene mean"
24,"LOC126335256","probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.40360109828935,2.82064564088596e-16,1.76072146640584,"1023","Lower than gene mean"
25,"LOC126327822","larval cuticle protein LCP-22-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",3.10185250089755,8.02305701354522e-06,2.48618385383611,"1002","Higher than gene mean"
26,"LOC126336858","protein atonal","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",3.2021584806435,1.13760930438681e-05,2.30952717049254,"1002","Higher than gene mean"
27,"LOC126272046","thrombospondin type-1 domain-containing protein 4","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.37074730941769,8.51996893450314e-09,2.17797311135615,"1002","Higher than gene mean"
28,"LOC126299171","serine/threonine-protein kinase NIM1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.88158162868791,1.32603199274247e-17,1.91330740838566,"1036","Higher than gene mean"
29,"LOC126330497","G-protein coupled receptor GRL101-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.11584489480711,1.27414262132865e-10,2.17391383369646,"1004","Higher than gene mean"
30,"LOC126273784","uncharacterized LOC126273784","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",3.09804141145082,6.32313436481919e-07,1.74843910438027,"1023","Lower than gene mean"
31,"LOC126354407","juvenile hormone esterase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",3.47943696267493,1.40915265667595e-07,2.26663150658919,"1057","Lower than gene mean"
32,"LOC126268175","opioid-binding protein/cell adhesion molecule homolog","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",2.13223427896712,3.15740770889323e-05,2.15443882920664,"1023","Lower than gene mean"
33,"LOC126284812","glucose dehydrogenase [FAD, quinone]-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.36003704359695,1.51881628831467e-13,2.16117316069129,"1023","Lower than gene mean"
34,"LOC126355923","uncharacterized LOC126355923","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.44057776599288,0.0282358325057704,2.60997551611346,"1016","Lower than gene mean"
35,"LOC126281297","uncharacterized LOC126281297","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.47316837694826,1.55664808838089e-11,2.39152209539727,"1004","Higher than gene mean"
36,"LOC126281302","uncharacterized LOC126281302","lncRNA","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",5.09694173922851,4.5573153444394e-10,1.63218235563742,"1034","Higher than gene mean"
37,"LOC126322655","inositol polyphosphate multikinase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet33","Control diet 33",1.05053239464198,1.16015985768356e-05,2.46836656997433,"1016","Lower than gene mean"
38,"LOC126335258","galactoside alpha-(1,2)-fucosyltransferase 2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.19314651674062,0.0108929926434016,2.1582842584207,"1058","Lower than gene mean"
39,"LOC126266596","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.41900141352957,2.66012354018331e-09,2.46237461259941,"1002","Higher than gene mean"
40,"LOC126270294","beta-1,3-glucan-binding protein-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.79131248180832,2.38410664696868e-05,2.39544055988229,"1058","Lower than gene mean"
41,"LOC126335345","neuroligin-2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.24414583685329,8.60000976208179e-06,2.62059017573793,"1029","Lower than gene mean"
42,"LOC126336041","uncharacterized LOC126336041","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet33","Control diet 33",1.08345658448241,0.0123077820576944,3.02891667625801,"1029","Lower than gene mean"
43,"LOC126336562","uncharacterized LOC126336562","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.44725837117044,1.88014730225137e-06,2.44270399824982,"1058","Lower than gene mean"
44,"LOC126346564","transient receptor potential cation channel protein painless-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.07630290757808,0.00116277657514883,2.78839912076905,"1058","Lower than gene mean"
45,"LOC126272251","monocarboxylate transporter 9","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_diet50; infection_diet83","Control diet 50; Control diet 83",1.20185127310608,0.00246311318116167,2.26360553777325,"1011","Higher than gene mean"
46,"LOC126295382","ankyrin repeat and SOCS box protein 2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.53874815143331,0.0100509583703565,2.55417192452639,"1058","Lower than gene mean"
47,"LOC126282450","uncharacterized LOC126282450","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.22867766387358,0.0159439619373101,1.9106614488606,"1006","Higher than gene mean"
48,"LOC126268019","uncharacterized LOC126268019","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.29294782364093,0.00585535088363569,2.07325789239458,"1002","Higher than gene mean"
49,"LOC126281521","uncharacterized LOC126281521","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.83376848567483,0.000189796693171454,2.1421696122387,"1006","Higher than gene mean"
50,"LOC126284429","IQ motif and SEC7 domain-containing protein 2","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.09849414991047,0.0011372240231054,2.84628416225074,"1023","Lower than gene mean"
51,"LOC126266958","uncharacterized LOC126266958","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet33","Control diet 33",1.08827875891238,0.0107854454626546,2.87117009603832,"1023","Lower than gene mean"
52,"LOC126297734","epidermal growth factor receptor kinase substrate 8-like protein 2","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.09258101528999,0.0133908995123421,2.620502548154,"1023","Lower than gene mean"
53,"LOC126281354","mucin-5AC-like","protein_coding","Diet in infected","Not evaluated in this chromosome-only figure",1,"infected_diet83_vs50","Infected diet 83",1.07007523417672,0.0335978142735041,2.82110087857667,"1023","Lower than gene mean"
54,"LOC126353822","uncharacterized LOC126353822","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",4,"infected_diet83_vs50; infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50; Infected diet 83",2.20509553244,8.94600258977678e-05,2.23072270386021,"1016","Lower than gene mean"
55,"LOC126272080","arrestin domain-containing protein 17","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.29722107646484,0.0068086232378212,2.74556593743598,"1002","Higher than gene mean"
56,"LOC126282335","uncharacterized LOC126282335","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.27889052525601,9.05363302357654e-05,2.09244342721033,"1002","Higher than gene mean"
57,"LOC126345263","peroxisomal acyl-coenzyme A oxidase 3","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.30769246612182,4.52385022755708e-05,2.34287352983069,"1016","Lower than gene mean"
58,"LOC126298594","phospholipase A2 inhibitor beta","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.14950796068145,0.00323577400715652,2.72740652568219,"1016","Lower than gene mean"
59,"LOC126334637","calpain-9-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.31914824533548,0.00114476490146617,2.22135260099422,"1023","Lower than gene mean"
60,"LOC126284016","nucleoredoxin-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.3388941385565,0.00386307642393026,2.1621683643289,"1023","Lower than gene mean"
61,"LOC126354218","partitioning defective 3 homolog","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.23100984230409,0.000400167966695454,2.81457719069118,"1023","Lower than gene mean"
62,"LOC126284250","uncharacterized LOC126284250","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.762297605187,0.000135087130568797,2.7065982510608,"1023","Lower than gene mean"
63,"LOC126279923","RNA-binding protein 24-B-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.12641385498733,0.0394695746757569,2.65579762388779,"1023","Lower than gene mean"
64,"LOC126278455","E3 ubiquitin-protein ligase TRIM9","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.07951115555301,0.0295386392755277,2.61997923382907,"1057","Lower than gene mean"
65,"LOC126336873","enhancer of split mbeta protein-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.75835698935078,0.0121398602258969,2.16182912049454,"1057","Lower than gene mean"
66,"LOC126355724","uncharacterized LOC126355724","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.8100023492877,5.45590128735863e-05,2.34843344716092,"1023","Lower than gene mean"
67,"LOC126281296","rap guanine nucleotide exchange factor 6-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.27542024030873,0.000249055928811662,2.1286398155417,"1058","Lower than gene mean"
68,"LOC126355586","cGMP-dependent protein kinase, isozyme 1","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.121091860715,0.000208715901304949,2.50211599670253,"1057","Lower than gene mean"
69,"LOC126298299","Krueppel-like factor 2","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.58202640143038,0.000131367816948864,2.42957892369538,"1023","Lower than gene mean"
70,"LOC126365770","golgin subfamily A member 6-like protein 7","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.08669961137687,4.14714040260543e-08,2.22357101205976,"1036","Higher than gene mean"
71,"LOC126281299","uncharacterized LOC126281299","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.9838229793652,2.48776523359449e-08,1.90780866860298,"1036","Higher than gene mean"
72,"LOC126281915","uncharacterized LOC126281915","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.87963877716047,6.09315971390706e-09,2.57932336384692,"1023","Lower than gene mean"
73,"LOC126297795","uncharacterized LOC126297795","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.03095911431021,6.00967530987156e-06,2.88635182772077,"1016","Lower than gene mean"
74,"LOC126336201","uncharacterized LOC126336201","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",3.00044516753309,1.78537840397418e-05,2.35579199551189,"1016","Lower than gene mean"
75,"LOC126349273","uncharacterized LOC126349273","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.36312846531522,3.90961834784952e-10,2.42136794508023,"1027","Lower than gene mean"
76,"LOC126336692","glutathione S-transferase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.48431987588218,3.23578719368072e-06,1.90466731432497,"1054","Lower than gene mean"
77,"LOC126334946","RNA-binding protein Musashi homolog 2","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.69367236947258,3.57534582789594e-08,2.02944533803888,"1023","Lower than gene mean"
78,"LOC126336337","protein charybde-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.69673131985894,7.40694260540137e-08,1.93006470052037,"1057","Lower than gene mean"
79,"LOC126283954","macrophage migration inhibitory factor homolog","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.39139793758045,4.14928664485693e-10,2.44587475922571,"1023","Lower than gene mean"
80,"LOC126299549","succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.07599719158087,7.72792187694191e-06,2.45760021847517,"1038","Higher than gene mean"
81,"LOC126336244","acetyl-CoA acetyltransferase, mitochondrial","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.32262780894186,7.61352132091513e-20,1.9927708650803,"1023","Lower than gene mean"
82,"LOC126272450","uncharacterized oxidoreductase YjmC-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.05422237569257,0.0303487839577882,2.62686559246677,"1023","Lower than gene mean"
83,"LOC126278095","epidermal retinol dehydrogenase 2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.20305079687899,0.00113896154553283,2.5154646063298,"1023","Lower than gene mean"
84,"LOC126284231","uncharacterized LOC126284231","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.36693790334992,5.11979828209906e-10,1.9874939838145,"1027","Lower than gene mean"
85,"LOC126336695","glutathione S-transferase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.62375771998625,1.66336646657934e-14,2.19244125086076,"1023","Lower than gene mean"
86,"LOC126271850","uncharacterized LOC126271850","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.56741716742159,2.89816288930328e-05,3.12474856736169,"1023","Lower than gene mean"
87,"LOC126273129","ejaculatory bulb-specific protein 3-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.3420271741391,0.00572449619384393,2.03667919914879,"1016","Lower than gene mean"
88,"LOC126272375","DNA repair protein XRCC2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.18601866361145,0.0131096712857854,1.83566299709046,"1038","Higher than gene mean"
89,"LOC126284218","phenoloxidase 1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.27900084334722,0.0380817901119205,1.92098302699106,"1054","Lower than gene mean"
90,"LOC126272158","retinol-binding protein pinta-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.19819671034577,0.00962632103370924,2.11089715919697,"1009","Higher than gene mean"
91,"LOC126272024","retinol-binding protein pinta-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.99639262075416,0.000158157263001079,1.59852806840635,"1016","Lower than gene mean"
92,"LOC126272156","retinol-binding protein pinta-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.83710203874215,0.000786953439442939,2.0496857395767,"1016","Lower than gene mean"
93,"LOC126323251","bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.24759541105448,0.00783282721494655,2.18524569118808,"1037","Higher than gene mean"
94,"LOC126272370","GATOR complex protein NPRL2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.01021502032438,0.0174012068810647,2.33710896425674,"1029","Lower than gene mean"
95,"LOC126336874","uncharacterized LOC126336874","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.58060475379542,6.03254291569339e-07,2.43272764893163,"1029","Lower than gene mean"
96,"LOC126336875","enhancer of split mbeta protein-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.80135562081432,2.83071338722607e-08,2.02647234195091,"1029","Lower than gene mean"
97,"LOC126266657","UDP-glucose 6-dehydrogenase","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.60384344902197,0.000294437787544098,2.78253431138757,"1030","Higher than gene mean"
98,"LOC126336531","proline-rich protein 2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",2.84735008544998,0.00846562271945208,2.38841083118019,"1006","Higher than gene mean"
99,"LOC126336529","proline-rich protein 2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",3.64526112377247,8.4422756920726e-06,2.06140618793575,"1006","Higher than gene mean"
100,"LOC126336539","proline-rich protein 2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",4.67473353426754,1.21682562287698e-07,2.38141322386479,"1006","Higher than gene mean"
101,"LOC126336538","proline-rich protein 2-like","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",5,"control_diet83_vs33; infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",4.27373302971053,4.58163863540465e-13,2.14695984021652,"1006","Higher than gene mean"
102,"LOC126336532","proline-rich protein 2-like","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",4,"control_diet83_vs33; infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",3.73796593826927,9.75280383810314e-08,2.33854922524835,"1023","Lower than gene mean"
103,"LOC126336533","proline-rich protein 2-like","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",4,"control_diet83_vs33; infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",4.00875991168389,1.08236097283272e-09,2.4139109340384,"1023","Lower than gene mean"
104,"LOC126336537","proline-rich protein 2-like","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",4,"control_diet83_vs33; infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets","Average control; Control diet 33; Infected diet 33",4.11638666938915,0.00329650850431209,2.55681295706329,"1030","Higher than gene mean"
105,"LOC126336534","proline-rich protein HaeIII subfamily 1-like","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",4,"control_diet83_vs33; infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",5.3478611379732,6.20687681232053e-11,2.36491981811166,"1030","Higher than gene mean"
