"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","foreground_set","ontology"
"GO:0006811","monoatomic ion transport","115/885","403/5969",0.285359801488834,1.92464706789474,8.01936887363862,1.50717273831388e-13,7.60971515574678e-11,7.60971515574678e-11,"LOC126297542/LOC126365875/LOC126354785/LOC126297822/LOC126269255/LOC126337983/LOC126356631/LOC126284897/LOC126293524/LOC126358740/LOC126354780/LOC126272465/LOC126356065/LOC126278568/LOC126298058/LOC126354562/LOC126354753/LOC126354751/LOC126354186/LOC126356039/LOC126341660/LOC126278890/LOC126354478/LOC126295251/LOC126273220/LOC126354827/LOC126354582/LOC126336931/LOC126354344/LOC126355940/LOC126325327/LOC126297555/LOC126354750/LOC126356287/LOC126272934/LOC126281351/LOC126267118/LOC126272139/LOC126327243/LOC126269368/LOC126355303/LOC126334997/LOC126336682/LOC126292020/LOC126335261/LOC126355392/LOC126355391/LOC126272718/LOC126283953/LOC126354040/LOC126267806/LOC126353931/LOC126297964/LOC126334598/LOC126336375/LOC126361668/LOC126334835/LOC126273067/LOC126285413/LOC126354816/LOC126299447/LOC126334955/LOC126279309/LOC126295311/LOC126282638/LOC126278432/LOC126338336/LOC126324336/LOC126272251/LOC126272884/LOC126354110/LOC126336638/LOC126354034/LOC126335259/LOC126267939/LOC126266590/LOC126281695/LOC126355582/LOC126281447/LOC126336484/LOC126336864/LOC126334996/LOC126298067/LOC126272275/LOC126355939/LOC126354611/LOC126336688/LOC126334943/LOC126354241/LOC126271869/LOC126336082/LOC126291650/LOC126272767/LOC126354163/LOC126281676/LOC126354039/LOC126355684/LOC126353927/LOC126293545/LOC126336038/LOC126278232/LOC126341744/LOC126278467/LOC126282259/LOC126278974/LOC126298679/LOC126335355/LOC126272360/LOC126354788/LOC126269352/LOC126356316/LOC126356137/LOC126366011/LOC126299180/LOC126298972",115,"GO","Expressed rRNA-filtered main-chromosome genes",885,5969,"All main-chromosome DEGs","Biological process"
"GO:0055085","transmembrane transport","126/885","459/5969",0.274509803921569,1.85146781876592,7.92103720970827,2.03497226379947e-13,9.34052269083958e-11,9.34052269083958e-11,"LOC126297542/LOC126365875/LOC126354785/LOC126297822/LOC126269255/LOC126337983/LOC126356631/LOC126284897/LOC126293524/LOC126357744/LOC126358740/LOC126354780/LOC126298824/LOC126291821/LOC126272465/LOC126356065/LOC126278568/LOC126298058/LOC126354562/LOC126354753/LOC126354751/LOC126354019/LOC126354186/LOC126356039/LOC126341660/LOC126278890/LOC126354478/LOC126295251/LOC126273220/LOC126354827/LOC126354582/LOC126354344/LOC126355940/LOC126325327/LOC126297555/LOC126354750/LOC126356287/LOC126272934/LOC126281351/LOC126267118/LOC126272139/LOC126327243/LOC126269368/LOC126355303/LOC126334997/LOC126336682/LOC126292020/LOC126335261/LOC126355392/LOC126355391/LOC126272718/LOC126283953/LOC126354040/LOC126267806/LOC126353931/LOC126297964/LOC126334598/LOC126336375/LOC126361668/LOC126334835/LOC126285413/LOC126354816/LOC126299447/LOC126334955/LOC126279309/LOC126295311/LOC126282638/LOC126278432/LOC126338336/LOC126354017/LOC126354018/LOC126324336/LOC126272251/LOC126272884/LOC126354110/LOC126336638/LOC126354034/LOC126354789/LOC126335259/LOC126267939/LOC126266590/LOC126278946/LOC126281695/LOC126278191/LOC126355582/LOC126281447/LOC126336484/LOC126336864/LOC126334996/LOC126298067/LOC126272275/LOC126298783/LOC126355939/LOC126354611/LOC126336688/LOC126334943/LOC126335294/LOC126354241/LOC126271869/LOC126354570/LOC126336082/LOC126291650/LOC126272767/LOC126354163/LOC126281676/LOC126354039/LOC126355684/LOC126353927/LOC126293545/LOC126336038/LOC126278232/LOC126341744/LOC126278467/LOC126282259/LOC126278974/LOC126298679/LOC126278971/LOC126335355/LOC126272360/LOC126354788/LOC126269352/LOC126356316/LOC126356137/LOC126366011/LOC126299180/LOC126298972",126,"GO","Expressed rRNA-filtered main-chromosome genes",885,5969,"All main-chromosome DEGs","Biological process"
"GO:0034220","monoatomic ion transmembrane transport","95/885","336/5969",0.282738095238095,1.906964622007,7.13959179174524,4.4834893908061e-11,1.41482112088625e-08,1.41482112088625e-08,"LOC126297542/LOC126365875/LOC126354785/LOC126297822/LOC126269255/LOC126337983/LOC126356631/LOC126284897/LOC126293524/LOC126358740/LOC126356065/LOC126278568/LOC126298058/LOC126354562/LOC126354753/LOC126354751/LOC126354186/LOC126356039/LOC126341660/LOC126278890/LOC126354478/LOC126295251/LOC126273220/LOC126354827/LOC126354582/LOC126354344/LOC126355940/LOC126297555/LOC126354750/LOC126356287/LOC126272934/LOC126281351/LOC126267118/LOC126272139/LOC126327243/LOC126269368/LOC126355303/LOC126334997/LOC126336682/LOC126292020/LOC126272718/LOC126283953/LOC126267806/LOC126353931/LOC126297964/LOC126361668/LOC126285413/LOC126354816/LOC126299447/LOC126279309/LOC126295311/LOC126282638/LOC126278432/LOC126338336/LOC126324336/LOC126272251/LOC126272884/LOC126354110/LOC126336638/LOC126354034/LOC126267939/LOC126266590/LOC126281695/LOC126355582/LOC126281447/LOC126336864/LOC126334996/LOC126298067/LOC126272275/LOC126355939/LOC126354611/LOC126336688/LOC126334943/LOC126271869/LOC126336082/LOC126291650/LOC126272767/LOC126281676/LOC126355684/LOC126353927/LOC126293545/LOC126336038/LOC126278232/LOC126341744/LOC126282259/LOC126278974/LOC126298679/LOC126272360/LOC126354788/LOC126269352/LOC126356316/LOC126356137/LOC126366011/LOC126299180/LOC126298972",95,"GO","Expressed rRNA-filtered main-chromosome genes",885,5969,"All main-chromosome DEGs","Biological process"
"GO:0006820","monoatomic anion transport","66/885","212/5969",0.311320754716981,2.09974416373521,6.80212726685151,6.73728013563679e-10,1.88980707804612e-07,1.88980707804612e-07,"LOC126269255/LOC126337983/LOC126356631/LOC126284897/LOC126354780/LOC126272465/LOC126356065/LOC126354562/LOC126354753/LOC126354751/LOC126356039/LOC126278890/LOC126354478/LOC126354827/LOC126354582/LOC126354344/LOC126355940/LOC126325327/LOC126354750/LOC126272934/LOC126281351/LOC126267118/LOC126327243/LOC126269368/LOC126334997/LOC126336682/LOC126335261/LOC126355392/LOC126355391/LOC126272718/LOC126354040/LOC126353931/LOC126334598/LOC126336375/LOC126334835/LOC126273067/LOC126285413/LOC126299447/LOC126334955/LOC126295311/LOC126272251/LOC126272884/LOC126336638/LOC126335259/LOC126336484/LOC126334996/LOC126298067/LOC126272275/LOC126355939/LOC126336688/LOC126354241/LOC126354163/LOC126354039/LOC126355684/LOC126353927/LOC126278232/LOC126341744/LOC126278467/LOC126278974/LOC126298679/LOC126335355/LOC126272360/LOC126354788/LOC126269352/LOC126366011/LOC126299180",66,"GO","Expressed rRNA-filtered main-chromosome genes",885,5969,"All main-chromosome DEGs","Biological process"
"GO:0006022","aminoglycan metabolic process","25/885","48/5969",0.520833333333333,3.51282956685499,7.29238171216102,1.39810253339198e-09,3.52950984554805e-07,3.52950984554805e-07,"LOC126271949/LOC126267217/LOC126299078/LOC126284041/LOC126266657/LOC126335001/LOC126285462/LOC126317480/LOC126267061/LOC126335966/LOC126346606/LOC126267216/LOC126281994/LOC126267343/LOC126365918/LOC126278279/LOC126297427/LOC126346580/LOC126267652/LOC126336345/LOC126267215/LOC126346622/LOC126354720/LOC126274364/LOC126268068",25,"GO","Expressed rRNA-filtered main-chromosome genes",885,5969,"All main-chromosome DEGs","Biological process"
"GO:0032501","multicellular organismal process","424/885","2352/5969",0.180272108843537,1.21586917252777,5.61071621130195,1.59373044028388e-08,3.35281041374721e-06,3.35281041374721e-06,"LOC126267432/LOC126297542/LOC126293282/LOC126272116/LOC126267997/LOC126354914/LOC126293326/LOC126280991/LOC126270553/LOC126271949/LOC126297635/LOC126295040/LOC126355888/LOC126297734/LOC126299155/LOC126297701/LOC126284845/LOC126339265/LOC126292145/LOC126278524/LOC126269255/LOC126285408/LOC126320492/LOC126354348/LOC126278176/LOC126291991/LOC126284086/LOC126278442/LOC126298602/LOC126299461/LOC126284679/LOC126282112/LOC126276001/LOC126266829/LOC126293524/LOC126281178/LOC126299078/LOC126298492/LOC126291467/LOC126268161/LOC126298660/LOC126335957/LOC126298901/LOC126282035/LOC126357744/LOC126294945/LOC126334614/LOC126298335/LOC126358740/LOC126273010/LOC126267226/LOC126334910/LOC126320178/LOC126272046/LOC126284006/LOC126334946/LOC126335515/LOC126267773/LOC126334929/LOC126278048/LOC126356321/LOC126321085/LOC126267743/LOC126284041/LOC126337059/LOC126355865/LOC126349315/LOC126353855/LOC126322655/LOC126291821/LOC126275497/LOC126335068/LOC126336809/LOC126267060/LOC126266657/LOC126273293/LOC126365941/LOC126295201/LOC126356154/LOC126273138/LOC126298058/LOC126278997/LOC126335918/LOC126272470/LOC126365865/LOC126364340/LOC126272916/LOC126354019/LOC126299240/LOC126295285/LOC126272743/LOC126297795/LOC126299506/LOC126354186/LOC126356039/LOC126284350/LOC126284788/LOC126285462/LOC126336045/LOC126334907/LOC126357156/LOC126347975/LOC126279090/LOC126271955/LOC126322572/LOC126273249/LOC126355485/LOC126336200/LOC126336423/LOC126356015/LOC126278890/LOC126272414/LOC126285438/LOC126299004/LOC126354995/LOC126267237/LOC126346953/LOC126353965/LOC126272639/LOC126267829/LOC126282474/LOC126273220/LOC126354827/LOC126281954/LOC126293373/LOC126297738/LOC126334947/LOC126298649/LOC126331446/LOC126267774/LOC126334957/LOC126343426/LOC126272312/LOC126278800/LOC126268114/LOC126279052/LOC126278781/LOC126335966/LOC126346606/LOC126267456/LOC126281718/LOC126278940/LOC126273149/LOC126354344/LOC126295425/LOC126284258/LOC126299150/LOC126291679/LOC126267315/LOC126266626/LOC126298531/LOC126297555/LOC126335513/LOC126281897/LOC126284482/LOC126295087/LOC126335152/LOC126298857/LOC126266672/LOC126326589/LOC126294949/LOC126335350/LOC126345497/LOC126279120/LOC126281778/LOC126298063/LOC126267439/LOC126281509/LOC126344496/LOC126267118/LOC126353850/LOC126272139/LOC126299206/LOC126278382/LOC126269368/LOC126284002/LOC126353956/LOC126280740/LOC126354448/LOC126273368/LOC126278678/LOC126281291/LOC126355752/LOC126282030/LOC126266746/LOC126284577/LOC126334997/LOC126284087/LOC126353951/LOC126297845/LOC126266988/LOC126272078/LOC126278037/LOC126284630/LOC126336939/LOC126267343/LOC126356354/LOC126354172/LOC126272178/LOC126365980/LOC126267133/LOC126353933/LOC126356271/LOC126272321/LOC126299298/LOC126267806/LOC126334818/LOC126266752/LOC126297964/LOC126354583/LOC126281704/LOC126297427/LOC126361668/LOC126355051/LOC126344479/LOC126281516/LOC126285413/LOC126281165/LOC126267242/LOC126337018/LOC126284645/LOC126267081/LOC126346580/LOC126292297/LOC126278259/LOC126284721/LOC126336858/LOC126279309/LOC126354218/LOC126353822/LOC126292260/LOC126279103/LOC126354115/LOC126355430/LOC126329244/LOC126355437/LOC126272394/LOC126335481/LOC126338336/LOC126354017/LOC126354018/LOC126278518/LOC126292199/LOC126336345/LOC126281674/LOC126273193/LOC126299116/LOC126365945/LOC126293366/LOC126298544/LOC126359421/LOC126335501/LOC126278447/LOC126284333/LOC126334107/LOC126271991/LOC126335382/LOC126337058/LOC126276893/LOC126294955/LOC126284030/LOC126336772/LOC126298490/LOC126284310/LOC126336597/LOC126336485/LOC126281527/LOC126361620/LOC126275560/LOC126365914/LOC126349907/LOC126353907/LOC126272884/LOC126273369/LOC126336866/LOC126281483/LOC126293557/LOC126354642/LOC126284584/LOC126356222/LOC126292188/LOC126278061/LOC126284995/LOC126282346/LOC126328409/LOC126267038/LOC126272787/LOC126272608/LOC126335148/LOC126334820/LOC126319852/LOC126284250/LOC126281695/LOC126281663/LOC126355886/LOC126354260/LOC126295284/LOC126298031/LOC126282271/LOC126272477/LOC126281478/LOC126284712/LOC126355582/LOC126281447/LOC126278393/LOC126267006/LOC126336864/LOC126298632/LOC126334996/LOC126335346/LOC126298316/LOC126298067/LOC126336122/LOC126343123/LOC126284624/LOC126284413/LOC126361237/LOC126336602/LOC126292317/LOC126272274/LOC126355132/LOC126272263/LOC126272462/LOC126282191/LOC126281993/LOC126346622/LOC126298558/LOC126354611/LOC126365745/LOC126266832/LOC126268397/LOC126299197/LOC126325353/LOC126268712/LOC126297882/LOC126298286/LOC126297938/LOC126282155/LOC126268133/LOC126355586/LOC126354439/LOC126266597/LOC126336041/LOC126295214/LOC126298324/LOC126297581/LOC126284394/LOC126298961/LOC126284425/LOC126297585/LOC126365371/LOC126299278/LOC126273129/LOC126297744/LOC126291849/LOC126298861/LOC126271869/LOC126354819/LOC126298648/LOC126284491/LOC126281862/LOC126354720/LOC126272767/LOC126293269/LOC126273192/LOC126269845/LOC126298412/LOC126282193/LOC126281676/LOC126365885/LOC126355755/LOC126270657/LOC126273024/LOC126269416/LOC126297857/LOC126334867/LOC126337753/LOC126293545/LOC126282371/LOC126336038/LOC126285153/LOC126354525/LOC126267877/LOC126356028/LOC126285239/LOC126278128/LOC126366017/LOC126298594/LOC126278863/LOC126278953/LOC126272041/LOC126355883/LOC126293483/LOC126356122/LOC126295382/LOC126271928/LOC126356204/LOC126334768/LOC126278743/LOC126356152/LOC126281789/LOC126269352/LOC126295191/LOC126356316/LOC126298288/LOC126281598/LOC126297745/LOC126272700/LOC126344512/LOC126284428/LOC126266830/LOC126366011/LOC126272377/LOC126351894/LOC126284756/LOC126268518/LOC126284276/LOC126298972/LOC126267253/LOC126305900/LOC126283987/LOC126334906/LOC126273203/LOC126298915",424,"GO","Expressed rRNA-filtered main-chromosome genes",885,5969,"All main-chromosome DEGs","Biological process"
"GO:0006026","aminoglycan catabolic process","15/885","23/5969",0.652173913043478,4.39867354458364,6.81309097622604,5.02357406356353e-08,9.3940834988638e-06,9.3940834988638e-06,"LOC126267217/LOC126285462/LOC126267061/LOC126346606/LOC126267216/LOC126267343/LOC126365918/LOC126278279/LOC126297427/LOC126346580/LOC126267652/LOC126267215/LOC126346622/LOC126274364/LOC126268068",15,"GO","Expressed rRNA-filtered main-chromosome genes",885,5969,"All main-chromosome DEGs","Biological process"
"GO:0050896","response to stimulus","313/885","1676/5969",0.186754176610979,1.25958833919879,5.2278728274994,1.74451570281502e-07,3.03726199431484e-05,3.03726199431484e-05,"LOC126293695/LOC126272511/LOC126297542/LOC126293282/LOC126291591/LOC126293326/LOC126280991/LOC126281618/LOC126271949/LOC126297635/LOC126295040/LOC126355888/LOC126297734/LOC126299155/LOC126356808/LOC126339265/LOC126292145/LOC126297822/LOC126269255/LOC126354348/LOC126267217/LOC126291991/LOC126330497/LOC126278442/LOC126284679/LOC126282112/LOC126272361/LOC126299097/LOC126335359/LOC126276001/LOC126293524/LOC126291467/LOC126299222/LOC126282035/LOC126285378/LOC126357744/LOC126294945/LOC126358740/LOC126273010/LOC126267226/LOC126320178/LOC126334946/LOC126334929/LOC126272375/LOC126335781/LOC126284041/LOC126293181/LOC126304998/LOC126336893/LOC126293737/LOC126359832/LOC126335068/LOC126284941/LOC126266657/LOC126273293/LOC126295201/LOC126356154/LOC126273138/LOC126298058/LOC126272746/LOC126335918/LOC126272364/LOC126272916/LOC126335001/LOC126354019/LOC126295285/LOC126354358/LOC126299506/LOC126299185/LOC126356039/LOC126285462/LOC126357156/LOC126271955/LOC126322572/LOC126273249/LOC126355485/LOC126274964/LOC126341660/LOC126336423/LOC126278890/LOC126295251/LOC126328249/LOC126284291/LOC126317480/LOC126299004/LOC126354995/LOC126267061/LOC126273220/LOC126354827/LOC126281954/LOC126293373/LOC126267774/LOC126272362/LOC126334957/LOC126343426/LOC126293178/LOC126272312/LOC126268114/LOC126268164/LOC126281446/LOC126279052/LOC126346606/LOC126267795/LOC126267456/LOC126281718/LOC126354344/LOC126295425/LOC126267315/LOC126267216/LOC126267861/LOC126272256/LOC126336300/LOC126336059/LOC126295087/LOC126272934/LOC126335152/LOC126298857/LOC126266672/LOC126326589/LOC126294949/LOC126335350/LOC126345497/LOC126279120/LOC126272594/LOC126344496/LOC126267118/LOC126353850/LOC126272139/LOC126278382/LOC126269368/LOC126353956/LOC126355933/LOC126335335/LOC126282030/LOC126267166/LOC126293741/LOC126272905/LOC126335869/LOC126266988/LOC126272078/LOC126272858/LOC126336939/LOC126267343/LOC126272718/LOC126365918/LOC126335544/LOC126272633/LOC126267133/LOC126353933/LOC126356271/LOC126272321/LOC126299298/LOC126336238/LOC126284632/LOC126334818/LOC126297964/LOC126278287/LOC126281704/LOC126361668/LOC126271650/LOC126355051/LOC126344479/LOC126335546/LOC126285413/LOC126281165/LOC126284645/LOC126267081/LOC126346580/LOC126292297/LOC126336858/LOC126355988/LOC126279103/LOC126354115/LOC126267652/LOC126355437/LOC126282638/LOC126272394/LOC126338336/LOC126354017/LOC126354018/LOC126278518/LOC126292199/LOC126336345/LOC126273193/LOC126335547/LOC126359421/LOC126284333/LOC126334107/LOC126294955/LOC126284030/LOC126336772/LOC126335021/LOC126298490/LOC126324336/LOC126278673/LOC126349907/LOC126298976/LOC126353907/LOC126272884/LOC126278345/LOC126344596/LOC126281483/LOC126293557/LOC126299171/LOC126271496/LOC126343175/LOC126331832/LOC126328409/LOC126267038/LOC126272787/LOC126284412/LOC126272608/LOC126278307/LOC126365747/LOC126267163/LOC126278180/LOC126267215/LOC126281695/LOC126281663/LOC126355886/LOC126354260/LOC126272477/LOC126281478/LOC126284712/LOC126355582/LOC126281447/LOC126298991/LOC126298632/LOC126298316/LOC126323231/LOC126271434/LOC126354602/LOC126361237/LOC126292317/LOC126272462/LOC126282191/LOC126346622/LOC126267794/LOC126354611/LOC126365745/LOC126266832/LOC126325353/LOC126268712/LOC126297882/LOC126267876/LOC126335775/LOC126334943/LOC126268133/LOC126354439/LOC126334657/LOC126335545/LOC126271975/LOC126298324/LOC126355206/LOC126284394/LOC126298961/LOC126335505/LOC126297585/LOC126273129/LOC126322960/LOC126355884/LOC126334779/LOC126291849/LOC126271869/LOC126282434/LOC126336082/LOC126354819/LOC126298648/LOC126354720/LOC126272767/LOC126293269/LOC126282193/LOC126355545/LOC126281676/LOC126273024/LOC126266656/LOC126269416/LOC126297857/LOC126354003/LOC126293545/LOC126282371/LOC126278128/LOC126282259/LOC126278974/LOC126366017/LOC126278863/LOC126278953/LOC126298992/LOC126272041/LOC126355883/LOC126297737/LOC126295382/LOC126271928/LOC126268068/LOC126271871/LOC126267308/LOC126269352/LOC126295191/LOC126298288/LOC126281598/LOC126336036/LOC126344512/LOC126284428/LOC126266830/LOC126285335/LOC126366011/LOC126335036/LOC126354398/LOC126298972/LOC126267253/LOC126356364/LOC126334906/LOC126298404",313,"GO","Expressed rRNA-filtered main-chromosome genes",885,5969,"All main-chromosome DEGs","Biological process"
"GO:0003008","system process","99/885","414/5969",0.239130434782609,1.61284696634733,5.3925409432768,2.72191227021639e-07,3.95963393053971e-05,3.95963393053971e-05,"LOC126270553/LOC126297734/LOC126299155/LOC126269255/LOC126282112/LOC126293524/LOC126291467/LOC126298335/LOC126358740/LOC126336809/LOC126356154/LOC126298058/LOC126335918/LOC126364340/LOC126354019/LOC126356039/LOC126284350/LOC126271955/LOC126322572/LOC126356015/LOC126272414/LOC126299004/LOC126282474/LOC126273220/LOC126354827/LOC126281954/LOC126297738/LOC126267774/LOC126343426/LOC126268114/LOC126278781/LOC126354344/LOC126297555/LOC126266672/LOC126345497/LOC126281509/LOC126272139/LOC126278382/LOC126269368/LOC126353956/LOC126353951/LOC126297845/LOC126266988/LOC126272078/LOC126336939/LOC126356354/LOC126354172/LOC126267133/LOC126297964/LOC126281704/LOC126361668/LOC126281516/LOC126292297/LOC126284721/LOC126336858/LOC126355437/LOC126354017/LOC126354018/LOC126292199/LOC126293366/LOC126334107/LOC126298490/LOC126336485/LOC126272884/LOC126281483/LOC126356222/LOC126328409/LOC126267038/LOC126319852/LOC126281695/LOC126354260/LOC126355582/LOC126281447/LOC126298632/LOC126298067/LOC126292317/LOC126355132/LOC126272263/LOC126282191/LOC126354611/LOC126297585/LOC126298861/LOC126271869/LOC126354819/LOC126272767/LOC126269845/LOC126281676/LOC126293545/LOC126336038/LOC126354525/LOC126366017/LOC126278863/LOC126278743/LOC126269352/LOC126284428/LOC126272377/LOC126351894/LOC126298972/LOC126273203",99,"GO","Expressed rRNA-filtered main-chromosome genes",885,5969,"All main-chromosome DEGs","Biological process"
"GO:0000270","peptidoglycan metabolic process","9/885","10/5969",0.9,6.07016949152542,6.69451403827938,2.90169252188492e-07,3.95963393053971e-05,3.95963393053971e-05,"LOC126267217/LOC126285462/LOC126267061/LOC126267216/LOC126267343/LOC126365918/LOC126267652/LOC126267215/LOC126268068",9,"GO","Expressed rRNA-filtered main-chromosome genes",885,5969,"All main-chromosome DEGs","Biological process"
"GO:0009253","peptidoglycan catabolic process","9/885","10/5969",0.9,6.07016949152542,6.69451403827938,2.90169252188492e-07,3.95963393053971e-05,3.95963393053971e-05,"LOC126267217/LOC126285462/LOC126267061/LOC126267216/LOC126267343/LOC126365918/LOC126267652/LOC126267215/LOC126268068",9,"GO","Expressed rRNA-filtered main-chromosome genes",885,5969,"All main-chromosome DEGs","Biological process"
"GO:0010466","negative regulation of peptidase activity","9/885","10/5969",0.9,6.07016949152542,6.69451403827938,2.90169252188492e-07,3.95963393053971e-05,3.95963393053971e-05,"LOC126354914/LOC126281178/LOC126278346/LOC126335544/LOC126335546/LOC126335547/LOC126335545/LOC126282193/LOC126282269",9,"GO","Expressed rRNA-filtered main-chromosome genes",885,5969,"All main-chromosome DEGs","Biological process"
"GO:0010951","negative regulation of endopeptidase activity","9/885","10/5969",0.9,6.07016949152542,6.69451403827938,2.90169252188492e-07,3.95963393053971e-05,3.95963393053971e-05,"LOC126354914/LOC126281178/LOC126278346/LOC126335544/LOC126335546/LOC126335547/LOC126335545/LOC126282193/LOC126282269",9,"GO","Expressed rRNA-filtered main-chromosome genes",885,5969,"All main-chromosome DEGs","Biological process"
"GO:0098656","monoatomic anion transmembrane transport","47/885","154/5969",0.305194805194805,2.05842688385061,5.55174659460676,4.04230473765774e-07,5.23322990267537e-05,5.23322990267537e-05,"LOC126269255/LOC126337983/LOC126356631/LOC126284897/LOC126356065/LOC126354562/LOC126354753/LOC126354751/LOC126356039/LOC126278890/LOC126354478/LOC126354827/LOC126354582/LOC126354344/LOC126355940/LOC126354750/LOC126272934/LOC126281351/LOC126267118/LOC126327243/LOC126269368/LOC126334997/LOC126336682/LOC126272718/LOC126353931/LOC126285413/LOC126299447/LOC126295311/LOC126272251/LOC126272884/LOC126336638/LOC126334996/LOC126298067/LOC126272275/LOC126355939/LOC126336688/LOC126355684/LOC126353927/LOC126278232/LOC126341744/LOC126278974/LOC126298679/LOC126272360/LOC126354788/LOC126269352/LOC126366011/LOC126299180",47,"GO","Expressed rRNA-filtered main-chromosome genes",885,5969,"All main-chromosome DEGs","Biological process"
"GO:0009617","response to bacterium","32/885","91/5969",0.351648351648352,2.37173899546781,5.50124088214696,9.76997524159026e-07,0.000105690021978741,0.000105690021978741,"LOC126267217/LOC126272361/LOC126273010/LOC126334929/LOC126293181/LOC126335918/LOC126272364/LOC126285462/LOC126267061/LOC126272362/LOC126293178/LOC126267216/LOC126282030/LOC126267343/LOC126365918/LOC126267652/LOC126272394/LOC126334107/LOC126278673/LOC126267038/LOC126267163/LOC126267215/LOC126272477/LOC126267876/LOC126271975/LOC126322960/LOC126334779/LOC126298648/LOC126297857/LOC126272041/LOC126268068/LOC126335036",32,"GO","Expressed rRNA-filtered main-chromosome genes",885,5969,"All main-chromosome DEGs","Biological process"
"GO:0006576","biogenic amine metabolic process","13/885","21/5969",0.619047619047619,4.17524885660479,6.08114287800197,9.83844530204162e-07,0.000105690021978741,0.000105690021978741,"LOC126293695/LOC126354225/LOC126333165/LOC126356039/LOC126271955/LOC126282517/LOC126298490/LOC126292188/LOC126284548/LOC126278953/LOC126267535/LOC126356204/LOC126335036",13,"GO","Expressed rRNA-filtered main-chromosome genes",885,5969,"All main-chromosome DEGs","Biological process"
"GO:0009308","amine metabolic process","13/885","21/5969",0.619047619047619,4.17524885660479,6.08114287800197,9.83844530204162e-07,0.000105690021978741,0.000105690021978741,"LOC126293695/LOC126354225/LOC126333165/LOC126356039/LOC126271955/LOC126282517/LOC126298490/LOC126292188/LOC126284548/LOC126278953/LOC126267535/LOC126356204/LOC126335036",13,"GO","Expressed rRNA-filtered main-chromosome genes",885,5969,"All main-chromosome DEGs","Biological process"
"GO:1901136","carbohydrate derivative catabolic process","18/885","37/5969",0.486486486486487,3.28117269812185,5.80686497496493,1.09632646499414e-06,0.000115319840036571,0.000115319840036571,"LOC126267217/LOC126285462/LOC126267061/LOC126346606/LOC126267216/LOC126267343/LOC126365918/LOC126278279/LOC126297427/LOC126284573/LOC126346580/LOC126267652/LOC126299116/LOC126267215/LOC126281506/LOC126346622/LOC126274364/LOC126268068",18,"GO","Expressed rRNA-filtered main-chromosome genes",885,5969,"All main-chromosome DEGs","Biological process"
"GO:0006027","glycosaminoglycan catabolic process","9/885","11/5969",0.818181818181818,5.51833590138675,6.25760115565299,1.385111576911e-06,0.000142723027588238,0.000142723027588238,"LOC126267217/LOC126285462/LOC126267061/LOC126267216/LOC126267343/LOC126365918/LOC126267652/LOC126267215/LOC126268068",9,"GO","Expressed rRNA-filtered main-chromosome genes",885,5969,"All main-chromosome DEGs","Biological process"
"GO:0015711","organic anion transport","42/885","138/5969",0.304347826086957,2.0527143208057,5.21989569723539,1.82551898951501e-06,0.000179049080364789,0.000179049080364789,"LOC126337983/LOC126356631/LOC126284897/LOC126356065/LOC126354562/LOC126354753/LOC126354751/LOC126356039/LOC126278890/LOC126354478/LOC126354827/LOC126354582/LOC126354344/LOC126355940/LOC126354750/LOC126272934/LOC126281351/LOC126267118/LOC126334997/LOC126336682/LOC126272718/LOC126353931/LOC126273067/LOC126285413/LOC126299447/LOC126295311/LOC126272251/LOC126272884/LOC126336638/LOC126334996/LOC126272275/LOC126355939/LOC126336688/LOC126355684/LOC126353927/LOC126278232/LOC126341744/LOC126278974/LOC126298679/LOC126272360/LOC126354788/LOC126299180",42,"GO","Expressed rRNA-filtered main-chromosome genes",885,5969,"All main-chromosome DEGs","Biological process"
"GO:0007186","G protein-coupled receptor signaling pathway","38/885","120/5969",0.316666666666667,2.13580037664783,5.2436668599695,1.94362887596476e-06,0.000182464192923733,0.000182464192923733,"LOC126299155/LOC126356808/LOC126354348/LOC126330497/LOC126299097/LOC126304998/LOC126354358/LOC126284291/LOC126267774/LOC126343426/LOC126267795/LOC126267861/LOC126336300/LOC126353850/LOC126353956/LOC126335335/LOC126335869/LOC126266988/LOC126267133/LOC126336238/LOC126278287/LOC126355437/LOC126278518/LOC126335021/LOC126298490/LOC126331832/LOC126365747/LOC126354260/LOC126298991/LOC126323231/LOC126267794/LOC126355545/LOC126266656/LOC126298992/LOC126355883/LOC126366011/LOC126354398/LOC126298404",38,"GO","Expressed rRNA-filtered main-chromosome genes",885,5969,"All main-chromosome DEGs","Biological process"
